Region;Decline_population_2017;;;;;;;;;;;;
Adygey;6586;;;;;;;;;;;;
Altay;6446;;;;;;;;;;;;
Amur;4189;;;;;;;;;;;;
Arkhangel'sk;34760;;;;;;;;;;;;
Astrakhan';4929;;;;;;;;;;;;
Bashkortostan;13039;;;;;;;;;;;;
Belgorod;302;;;;;;;;;;;;
Bryansk;6137;;;;;;;;;;;;
Buryat;23330;;;;;;;;;;;;
Chechnya;1344;;;;;;;;;;;;
Chelyabinsk;3701;;;;;;;;;;;;
Chukot;203;;;;;;;;;;;;
Chuvash;3870;;;;;;;;;;;;
City of St. Petersburg;5362;;;;;;;;;;;;
Dagestan;1841;;;;;;;;;;;;
Gorno-Altay;799;;;;;;;;;;;;
Ingush;1754;;;;;;;;;;;;
Irkutsk;14923;;;;;;;;;;;;
Ivanovo;5967;;;;;;;;;;;;
Kabardin-Balkar;4158;;;;;;;;;;;;
Kaliningrad;273;;;;;;;;;;;;
Kalmyk;457;;;;;;;;;;;;
Kaluga;259;;;;;;;;;;;;
Kamchatka;721;;;;;;;;;;;;
Karachay-Cherkess;1042;;;;;;;;;;;;
Karelia;914;;;;;;;;;;;;
Kemerovo;350;;;;;;;;;;;;
Khabarovsk;280;;;;;;;;;;;;
Khakass;176;;;;;;;;;;;;
Khanty-Mansiy;90;;;;;;;;;;;;
Kirov;192;;;;;;;;;;;;
Komi;1001;;;;;;;;;;;;
Kostroma;49;;;;;;;;;;;;
Krasnodar;2839;;;;;;;;;;;;
Krasnoyarsk;1316;;;;;;;;;;;;
Kurgan;2780;;;;;;;;;;;;
Kursk;346;;;;;;;;;;;;
Leningrad;531;;;;;;;;;;;;
Lipetsk;4093;;;;;;;;;;;;
Maga Buryatdan;1302;;;;;;;;;;;;
Mariy-El;2776;;;;;;;;;;;;
Mordovia;1624;;;;;;;;;;;;
Moscow City;2616;;;;;;;;;;;;
Moskva;1414;;;;;;;;;;;;
Murmansk;5250;;;;;;;;;;;;
Nenets;254;;;;;;;;;;;;
Nizhegorod;1269;;;;;;;;;;;;
North Ossetia;3372;;;;;;;;;;;;
Novgorod;836;;;;;;;;;;;;
Novosibirsk;949;;;;;;;;;;;;
Omsk;4324;;;;;;;;;;;;
Orel;2631;;;;;;;;;;;;
Orenburg;2933;;;;;;;;;;;;
Penza;9202;;;;;;;;;;;;
Perm';3473;;;;;;;;;;;;
Primor'ye;1287;;;;;;;;;;;;
Pskov;7438;;;;;;;;;;;;
Rostov;8066;;;;;;;;;;;;
Ryazan';6584;;;;;;;;;;;;
Sakha;9756;;;;;;;;;;;;
Sakhalin;5749;;;;;;;;;;;;
Samara;4794;;;;;;;;;;;;
Saratov;4933;;;;;;;;;;;;
Smolensk;4012;;;;;;;;;;;;
Stavropol';3424;;;;;;;;;;;;
Sverdlovsk;10037;;;;;;;;;;;;
Tambov;13522;;;;;;;;;;;;
Tatarstan;2680;;;;;;;;;;;;
Tomsk;2625;;;;;;;;;;;;
Tula;5349;;;;;;;;;;;;
Tuva;5916;;;;;;;;;;;;
Tver';3965;;;;;;;;;;;;
Tyumen';8965;;;;;;;;;;;;
Udmurt;11705;;;;;;;;;;;;
Ul'yanovsk;6885;;;;;;;;;;;;
Vladimir;6189;;;;;;;;;;;;
Volgograd;7044;;;;;;;;;;;;
Vologda;6583;;;;;;;;;;;;
Voronezh;8364;;;;;;;;;;;;
Yamal-Nenets;6279;;;;;;;;;;;;
Yaroslavl';4696;;;;;;;;;;;;
Yevrey;6143;;;;;;;;;;;;
Zabaykal'ye;6803;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
